accession,proteinClass
Q9BYN8,None
Q9BVN2,None
Q96S37,Transporter
Q6PIV7,Transporter
Q8N697,Transporter
O43511,Transporter
P58743,Transporter
Q96H78,Transporter
A6NK97,Transporter
Q96QD8,Transporter
Q9Y666,Transporter
Q969S0,Transporter
Q9BZW2,Transporter
Q9Y6Y8,None
Q6UXD7,None
O00337,Transporter
Q8TCU3,Transporter
Q8TBB6,Transporter
Q495M3,Transporter
Q9NTJ5,Enzyme
Q9Y6M7,Transporter
Q9NR31,Enzyme
Q9Y467,TF
Q9UJQ4,TF
P17900,None
Q9BYL1,None
Q9NQZ2,None
Q9Y3Z3,Enzyme
P07602,None
Q9Y2G9,None
Q15436,None
Q13228,None
P82921,None
Q86VV8,None
Q96C34,None
Q9H714,None
Q9Y265,None
Q9H446,None
Q9Y3V2,None
P29034,None
P33764,None
Q9Y2B1,None
O43304,None
B5MCN3,None
Q63ZE4,Transporter
Q15413,IC
P31949,None
Q8IY50,Transporter
Q96DW6,Transporter
Q9NUL5,None
P25815,None
Q5VYP0,None
A0AV02,Transporter
Q8WUX1,Transporter
Q6ZUB0,None
O14975,Transporter
Q6PIS1,Transporter
A6NNN8,Transporter
Q8TF17,None
Q9Y2P5,Transporter
Q6U841,Transporter
Q504Y0,Transporter
Q08AI6,Transporter
P61619,None
Q9H4B7,None
Q9BY07,Transporter
Q8TDM5,None
Q9Y2H2,Enzyme
P35542,None
Q9NXZ1,None
O43435,TF
Q8N6K7,None
Q8IZD0,None
Q658L1,None
Q8N695,Transporter
P14678,None
Q9NP92,None
Q9BQC6,None
Q96NL0,None
Q8N2Y8,None
Q6P087,Enzyme
Q96CM3,Enzyme
Q8N103,Enzyme
O75751,Transporter
Q9Y2V3,TF
Q9H228,GPCR
P04271,None
Q9Y694,Transporter
Q9ULF5,Transporter
Q6Q0C1,Transporter
Q695T7,Transporter
Q9H1U9,Transporter
Q9Y2P4,Transporter
Q3SY17,Transporter
Q86WA9,Transporter
Q9H2B4,IC
P48066,Transporter
P48065,Transporter
Q9NWF4,Transporter
A6NKF1,None
P23526,Enzyme
Q96BY9,None
Q9Y6B6,Enzyme
Q2MKA7,None
Q9BXY4,None
P82912,None
Q16594,None
Q6NW29,None
Q9HBX9,GPCR
Q8WXD0,GPCR
Q6NT16,Transporter
Q92503,None
O15245,Transporter
Q92736,IC
Q96BU1,None
Q9Y226,Transporter
P48443,NR
A6NIM6,Transporter
Q86VD7,Transporter
Q8WUT9,Transporter
A4IF30,Transporter
Q99624,Transporter
Q9NQQ7,Transporter
Q9NVC3,Transporter
Q13183,Transporter
Q8TE82,None
Q96N87,Transporter
Q96G79,Transporter
Q9NP91,Transporter
Q8NG04,Transporter
Q8IVJ1,Transporter
Q9H2H9,Transporter
P82673,None
Q6ICC9,None
Q16799,None
P08621,None
Q01196,TF
Q5QGT7,None
O95136,GPCR
Q96BI1,Transporter
O95977,GPCR
Q8N357,Transporter
Q13433,Transporter
Q5VVP1,None
Q8IWB4,None
Q76EJ3,Transporter
Q9NUM3,Transporter
Q96AG3,Transporter
Q8N1H7,None
Q9Y2W3,Transporter
Q8IXA5,Enzyme
Q96JT2,Transporter
P0DJI8,None
Q14151,None
Q9GZN6,Transporter
Q9H1V8,Transporter
Q9H633,Enzyme
P62244,None
Q9BXG8,TF
O15042,None
P11831,TF
O75044,Enzyme
P37108,None
P09132,None
P62269,None
O76094,None
P78362,Kinase
Q9UPE1,Kinase
Q9Y5M8,None
O60687,None
Q9UQ35,None
Q9BXP5,None
Q9GZT4,Enzyme
O75494,None
Q05519,None
Q9C004,None
Q9Y6N5,Enzyme
Q9HD15,None
Q12772,TF
Q14247,None
Q86TD4,None
Q8WXA9,None
P08708,None
P0DMP2,Enzyme
P0DJJ0,Enzyme
Q9UGK8,None
P10124,None
O43295,Enzyme
P49458,None
Q8WXF0,None
Q01130,None
Q9BUL9,Enzyme
Q8N4K4,None
O95347,None
A6NHR9,None
Q96FB5,None
Q14684,None
Q5JTZ9,Enzyme
Q6XPR3,None
Q13501,None
Q08170,None
Q16629,None
P46782,None
Q5T5J6,None
P62241,None
Q8WWL2,None
O43278,Enzyme
O43291,Enzyme
P49223,Enzyme
Q8IYB8,Enzyme
Q2M3V2,None
Q1ZZU3,None
Q9UH65,None
P62081,None
Q92737,Enzyme
Q5TD94,None
Q08AE8,None
P22090,None
O43463,Epigenetic
Q6NVH7,Enzyme
Q9HA92,None
Q96S79,Enzyme
O75818,Enzyme
Q8WXG1,None
Q96IZ7,None
Q9NVS2,None
P82933,None
O00141,Kinase
Q96BR1,Kinase
O00411,Enzyme
Q9Y657,None
Q5JUX0,None
P62841,None
Q9Y6N7,None
P61218,Enzyme
O15514,Enzyme
Q2QD12,Enzyme
Q96KN7,Enzyme
Q8TA86,None
Q9P1U0,Enzyme
P62277,None
Q14690,None
Q9NSQ0,None
P46779,None
Q9Y3U8,None
O95059,Enzyme
Q5VT52,None
Q9NS64,None
Q9UQE7,None
O43597,None
Q9UHB9,None
P08240,None
A6NNA2,None
B3KS81,None
P39019,None
Q13243,None
Q13247,None
P62266,None
Q7L523,None
Q9NQL2,None
Q07020,None
P18077,None
Q969Q0,None
P61927,None
P63173,None
P62891,None
P62945,None
O14730,Kinase
Q96K30,None
A6NKH3,None
Q96EH5,None
Q5VZM2,None
Q9P2E9,None
Q02543,None
P46783,None
P83881,None
P62263,None
Q96JX3,None
P23327,None
Q96GP6,None
Q14162,None
Q8NEF9,None
Q7Z6B7,Enzyme
Q9H3Y6,Kinase
P62829,None
P61254,None
P46776,None
P61247,None
P49207,None
P61353,None
P62861,None
P39023,None
P36578,None
P62424,None
Q86X10,Enzyme
P84098,None
P35268,None
P62750,None
Q9UNX3,None
O43610,None
Q8N9Q2,None
P62249,None
Q9BX66,None
O94875,None
Q6ZRS2,Enzyme
Q9C0H9,Enzyme
A1L4H1,None
Q4G0T1,None
P12931,Kinase
Q9NRX2,None
Q96K19,Enzyme
Q9Y6U7,None
Q9H9V4,None
Q96C74,None
Q01973,Kinase
O15318,Enzyme
P05423,Enzyme
Q96EU6,None
Q02878,None
P07998,Enzyme
Q8N5N7,None
Q96LT9,None
Q8TAA1,Enzyme
P09651,None
O95602,Enzyme
O75116,Kinase
P52434,Enzyme
Q9H9Y6,Enzyme
Q9H1D9,Enzyme
Q9H7B2,None
Q9Y2Y1,Enzyme
Q92565,None
O14802,Enzyme
Q16518,Enzyme
P04844,Enzyme
Q9H9Y2,None
Q9NWS8,None
Q9ULK6,None
Q9NRR4,Enzyme
Q96A37,None
Q99942,Enzyme
Q9Y225,None
Q6P5S7,Enzyme
Q5GAN6,Enzyme
Q15287,None
P60602,None
Q8IWN7,None
P53803,Enzyme
O15446,Enzyme
P30876,Enzyme
O75575,Enzyme
Q6ZSG1,None
O43567,Enzyme
Q9H777,Enzyme
Q99729,None
Q9NW08,Enzyme
P62875,Enzyme
Q63HN8,Enzyme
Q8NC42,Enzyme
Q8TC41,Enzyme
Q5TA31,Enzyme
Q96PX1,None
Q68DV7,Enzyme
Q7L0R7,None
O60930,Enzyme
Q5TBB1,Enzyme
Q5GAN4,Enzyme
Q9BZX4,None
Q13905,None
P36954,Enzyme
Q96AT9,Enzyme
Q96A35,None
Q6ZRF8,None
Q9Y508,Enzyme
Q8N4F7,None
Q86VV4,None
E7ERA6,None
Q8TEB7,Enzyme
Q9H6Y7,Enzyme
P78317,Enzyme
Q5GAN3,Enzyme
P10155,None
Q5T653,None
Q4U2R6,None
Q9UHA3,None
Q8N983,None
Q9NWU5,None
Q8TCC3,None
Q9BRJ2,None
Q9H2W6,None
Q7Z7F7,None
Q96DM3,None
Q9NQ50,None
Q9H1E1,Enzyme
Q9NWF9,Enzyme
Q2KHN1,None
Q9NV58,Enzyme
Q8WU17,Enzyme
O94941,None
P0C263,Kinase
Q8TDP1,Enzyme
Q9HAU8,Enzyme
P51449,NR
Q13129,None
P12271,None
Q9BQ48,None
Q9P0M9,None
Q05823,Kinase
Q8NCN4,Enzyme
O76064,Enzyme
Q9BQ52,Enzyme
Q96MS0,None
P24928,Enzyme
P51991,None
Q9H0X6,None
Q52WX2,Kinase
Q9Y3C5,None
Q9NVW2,Enzyme
O75792,Enzyme
Q03395,None
Q04912,Kinase
Q01974,Kinase
Q9HAT0,None
Q56A73,None
P49588,Enzyme
Q5VWQ0,None
Q9Y2R5,None
Q92665,None
Q96A49,None
Q6PCB5,None
Q6T310,Enzyme
Q9H1X1,None
Q2I0M5,None
Q9Y3D3,None
O00442,Enzyme
O60783,None
Q9BST9,None
Q96DX8,None
P62306,None
A8MWD9,None
P34925,Kinase
P26447,None
Q13621,Transporter
Q9BSK2,Transporter
Q9HAS3,Transporter
P82675,None
P82914,None
Q8N8U3,None
Q17RB0,None
Q9BSG5,None
Q9UJJ7,Enzyme
Q9Y2Q9,None
Q92541,Enzyme
P62308,None
Q96FQ6,None
Q8N1F8,Enzyme
P46059,Transporter
P28702,NR
P50443,Transporter
Q99808,Transporter
Q8WUG5,Transporter
Q9NY26,Transporter
Q8N488,None
Q6T423,Transporter
Q6ZMH5,Transporter
Q8WXG8,None
Q5VU36,None
Q9UHI7,Transporter
Q9UGH3,Transporter
Q7Z2H8,Transporter
Q9H0K4,None
Q8WYR4,None
Q96DX4,None
P08865,None
Q5HYW3,None
Q7L099,None
Q9NZ71,Enzyme
Q9BY42,None
Q9Y230,None
Q86YT5,Transporter
Q08357,Transporter
P06703,None
Q9BZV2,Transporter
Q9UP95,Transporter
P46781,None
P82664,None
P57060,None
Q96T23,Epigenetic
Q86UC2,None
Q6UXX9,None
Q15046,Enzyme
Q96EL2,None
Q15404,None
Q9Y3D5,None
A6NKG5,None
Q8WXA3,None
Q9NQC3,None
Q59EK9,None
O15235,None
Q6ZR62,None
Q96GQ5,None
Q92552,None
Q9Y3I0,Enzyme
P59025,None
Q9UHP6,None
Q9Y2R9,None
Q14D33,None
P82650,None
P82663,None
O75298,None
Q92681,None
Q9BPW5,Enzyme
P63162,None
Q9Y399,None
Q7L4I2,None
Q9BUV0,None
Q9Y676,None
Q9Y291,None
Q8WWV3,Enzyme
Q9Y224,None
A6ZKI3,None
Q92622,None
Q9BQQ7,None
Q9HCK4,None
P56715,None
P22626,None
P62487,Enzyme
Q9UNE2,None
Q3B726,Enzyme
P21549,Enzyme
Q96LZ7,None
Q96GC5,None
Q6ZMZ0,Enzyme
Q96EP0,Enzyme
Q969K3,Enzyme
O00584,Enzyme
P62987,None
Q9Y3B7,None
Q9H0U6,None
P09001,None
Q9BYD1,None
O75394,None
Q9BYC9,None
Q9H871,None
Q96G75,None
Q9BZE1,None
Q16540,None
Q8WVD5,None
Q13405,None
O60518,None
Q8WVZ7,Enzyme
Q2M238,None
A6NIE6,None
Q9BY78,None
Q9H0A6,None
Q9H0F5,Enzyme
Q8N5U6,None
P0C264,Kinase
Q9UBS8,Enzyme
Q9BXT8,Epigenetic
Q5VYX0,Enzyme
Q9BYD6,None
Q9BYD2,None
Q7Z2W9,None
Q9NX20,None
Q9H9A7,None
Q96MT1,None
Q9ULX5,None
Q8N7C7,None
Q9P0P0,Enzyme
P60153,Enzyme
Q5W0B1,None
Q5VTB9,Enzyme
Q9BV68,Enzyme
Q92730,Enzyme
Q9H2S5,None
Q96EX2,None
P05386,None
Q8NHW5,None
Q96DB5,None
Q8N6D2,Enzyme
Q96E39,None
A6NCQ9,None
Q96GF1,Enzyme
A6NIN4,None
O94763,Enzyme
Q8WVD3,TF
Q8IYW5,Enzyme
Q9Y3A5,None
Q5M7Z0,None
Q9Y252,Enzyme
Q7Z7H8,None
Q86TS9,None
Q6P161,None
Q9HD33,None
Q96DV4,None
Q9NTX7,Enzyme
P10153,Enzyme
Q96EQ8,Enzyme
P0DH78,None
P52198,Enzyme
P32969,None
Q9Y6G3,None
Q96TC7,None
Q9H9J2,Enzyme
Q9P0J6,None
P34096,Enzyme
Q495C1,Enzyme
Q9NXI6,None
Q8IUD6,Enzyme
Q96BH1,Enzyme
P61587,Enzyme
Q9H4P4,Enzyme
P05387,None
Q9BYD3,None
Q13084,None
Q96EL3,None
Q96E14,None
Q6ZNA4,Enzyme
Q86T96,Enzyme
Q8TDE3,Enzyme
Q5XPI4,Enzyme
P18124,None
P62917,None
P52815,None
P49406,None
Q6P1L8,None
Q8IXM3,None
Q9P015,None
Q9NZE8,None
Q9BYC8,None
P05388,None
Q93091,Enzyme
Q8ND24,None
Q9H920,None
O75526,None
Q8N8N0,Enzyme
Q13151,None
Q8IXW5,Enzyme
Q8N5L8,Enzyme
Q9GZM3,Enzyme
P52435,Enzyme
P49247,Enzyme
Q9BUI4,Enzyme
P19388,Enzyme
Q684P5,Enzyme
Q96E16,None
P19474,Enzyme
Q8WZ75,None
Q9GZN7,None
P35398,NR
Q9BT43,Enzyme
Q9Y2J0,Epigenetic
Q9Y535,Enzyme
Q9Y4G8,None
Q8TEU7,None
P78346,Enzyme
Q9NYK5,None
Q9Y4L5,Enzyme
Q96D59,None
M0QZC1,None
Q8N7X1,None
O00237,Enzyme
P04843,Enzyme
P0DPB5,None
Q9Y6S9,Kinase
Q9H1A7,Enzyme
Q14683,None
P00441,Enzyme
Q5JTH9,None
Q9NYV6,Enzyme
P56182,None
P08294,Enzyme
Q9NQ39,None
Q13464,Kinase
A6NIZ1,Enzyme
Q9H6T3,Enzyme
Q92753,NR
Q9GZS1,Enzyme
P08922,Kinase
O95398,None
Q9UHV5,None
Q9BQI5,None
P19387,Enzyme
P0DPB6,Enzyme
Q9BWH6,Enzyme
Q92834,Enzyme
Q96ES7,Epigenetic
P78345,Enzyme
Q9NQG5,None
O15160,Enzyme
Q9NVU0,Enzyme
Q8WZA2,None
P47736,Enzyme
O95707,Enzyme
Q9NTJ3,None
Q8IY18,None
Q9Y3B9,None
Q99611,Enzyme
P35326,None
Q9UBC9,None
Q7Z699,None
Q16385,None
O60224,None
O60225,None
Q7RTT6,None
Q7RTT5,None
Q7RTT4,None
B7Z8K6,None
P0DPR3,None
O00338,Enzyme
Q8IZP2,None
O75897,Enzyme
Q9UEE5,Kinase
A0JD36,None
Q9HBF5,None
Q6IMI4,Enzyme
P50225,Enzyme
Q9NRC1,None
Q9Y2H1,Kinase
P0CL83,None
P0CL85,None
Q9Y365,None
Q9NY15,None
Q8WVM7,None
Q8N3U4,None
Q96MF2,None
Q92783,None
Q9ULZ2,None
P40763,TF
O00506,Kinase
Q86TL2,None
Q9P289,Kinase
Q9BXU1,Kinase
Q86WV6,None
Q6NZ63,None
O94804,Kinase
Q13285,NR
Q9UBI4,None
Q9UJZ1,None
O75716,Kinase
P27105,None
P20396,None
Q13033,None
Q9NRL3,None
Q8N801,None
O95772,None
P46977,Enzyme
Q8TCJ2,Enzyme
P61764,None
Q6P9F5,None
Q6ZWJ1,None
Q8IWZ5,None
Q96BQ3,None
Q96LD4,None
P0CI25,None
Q9BYV6,None
Q9BRZ2,Enzyme
Q8IWR1,None
Q495X7,None
Q6PJ69,None
O15016,Epigenetic
Q6ZTA4,None
Q9C037,Enzyme
Q14669,Enzyme
Q96FX7,Enzyme
Q9UMX1,None
Q8IX01,None
Q06330,TF
P61956,None
G2XKQ0,None
Q15527,None
P48595,None
P61009,Enzyme
A6NLX3,None
A6NIY4,None
O75830,None
P22528,None
Q8TCT8,Enzyme
Q9HCB6,None
Q5JU69,None
P52788,Enzyme
Q7Z5L4,None
Q9H497,None
Q9BUA3,None
Q9BR10,None
Q13813,None
O15020,None
A0A0U1RRN3,None
Q537H7,None
O00267,None
Q8NCC5,Transporter
O43617,None
Q5MJ09,None
Q5MJ08,None
Q5MJ07,None
Q14140,None
Q9UJW9,None
P81877,None
O60232,None
A2A2V5,None
P51649,Enzyme
Q9BR01,Enzyme
P59095,None
Q9P2P6,None
Q9UJ98,None
Q96FJ0,Enzyme
Q96PN7,TF
P42224,TF
Q9UGK3,None
P52630,TF
P52823,None
Q9NP99,None
Q9UHE8,Enzyme
Q8IWL8,None
P02787,None
Q9NZ72,None
Q9H169,None
P03986,None
Q9P2F5,None
Q9Y6Q2,None
Q8WXE9,None
Q5TH74,None
Q8N7X2,None
O60858,Enzyme
A6NGW2,None
Q7RTU9,None
P36406,Enzyme
Q14258,Enzyme
Q69YW2,None
P14373,None
Q9BZY9,Enzyme
O43752,None
O15400,None
Q9UNK0,None
O94972,Enzyme
O00635,Enzyme
Q9HCM9,Enzyme
Q8NFX7,None
Q7Z4K8,None
Q8IWZ4,None
Q86XT4,Enzyme
Q9BSJ1,None
Q96A61,None
Q9BYV2,None
Q8NBK3,Enzyme
Q9UH99,None
O75683,None
Q5VX71,None
Q496J9,None
Q8N300,None
Q4LDE5,None
O95425,None
Q8NHG7,None
Q8N434,None
Q8N4V2,None
Q7Z4N2,IC
O94759,IC
Q9HCF6,IC
Q8TD43,IC
Q9NZQ8,IC
Q9BX84,Kinase
Q96QT4,IC
Q6ZW31,Enzyme
Q6ZMY3,None
Q8IUH8,Enzyme
Q96N96,None
Q8TB22,None
Q9BXN6,None
Q8NFR3,Enzyme
P11277,None
Q8IUR0,None
O15270,Enzyme
Q9NUV7,Enzyme
Q05066,TF
Q04837,None
Q4KMQ1,None
Q8TE77,Enzyme
Q8WYL5,Enzyme
P30872,GPCR
Q9BX59,None
O15533,None
O60507,Enzyme
P51571,None
P43307,None
Q56UQ5,None
Q9UPV9,None
Q15035,None
Q12931,None
Q6PIZ9,None
Q9NP77,Enzyme
Q16384,None
Q99909,None
Q9Y2M2,None
P0DMM9,Enzyme
P0DMN0,Enzyme
A0A075B706,None
Q6IMI6,Enzyme
Q9Y5Y6,None
A0A1B0GX56,None
A0JD37,None
O60284,TF
Q06520,Enzyme
O00204,Enzyme
Q86UX6,Kinase
P51692,TF
Q9Y3M8,None
Q92502,None
O95630,None
P49675,None
O95210,None
Q14849,None
Q96DR4,None
P02808,None
Q9NUL3,None
Q15468,None
Q13586,None
Q9P246,None
Q9BYT3,Kinase
Q9UEW8,Kinase
Q13188,Kinase
H3BQB6,None
Q15831,Kinase
P49842,Kinase
P09430,None
Q07283,None
Q05952,None
Q7Z7C7,None
Q8N412,None
Q7RTN6,Kinase
Q5VSL9,None
Q9ULQ0,None
P35270,Enzyme
P22531,None
Q9BUD6,None
Q9BWG4,None
Q9Y3C4,None
Q9NQ55,None
Q8WWF3,None
Q14714,None
A2VEC9,None
P30874,GPCR
P32745,GPCR
P31391,GPCR
O60704,Enzyme
P43308,None
P35346,GPCR
Q6XPS3,Enzyme
P56180,Enzyme
O14836,None
Q9Y2W1,None
Q8N609,None
Q6F5E7,None
A6NCK2,None
A6NDI0,None
P0CI26,None
C9J1S8,None
A6NMA1,None
Q9BVS5,Enzyme
A6NI03,None
A6NLI5,None
Q9H4I3,None
Q15628,None
Q13114,None
Q9BUZ4,None
Q9Y4K3,None
Q6Q0C0,Enzyme
Q9BWF2,Enzyme
P01850,None
A0A5B9,None
Q7RTT3,None
Q15532,None
Q6ZNB5,None
P50226,Enzyme
O43704,Enzyme
O14717,Enzyme
Q13061,None
P49888,Enzyme
O94768,Kinase
O94864,None
Q9NY57,Kinase
O43280,Enzyme
Q8TBR4,None
Q6ZMT1,None
Q99469,None
Q15005,Enzyme
Q96P63,None
A6NKU9,None
Q96EA4,None
P35237,None
Q15513,None
Q9H2S6,None
Q9Y4P9,None
Q9C093,None
Q9NRA0,Kinase
Q96I25,None
O14656,None
O14657,None
Q5BIV9,None
Q9BYE4,None
A0A1B0GTR4,None
P09486,None
Q8N9U9,None
Q96BD6,None
Q8NHS9,None
Q96A44,None
Q68D10,None
Q7Z4G4,Enzyme
Q9NUP7,None
Q9NXH9,Enzyme
Q8IZ69,Enzyme
Q9BXA5,GPCR
Q32P41,Enzyme
Q9UJA5,Enzyme
Q8IWZ8,None
Q8IWU6,Enzyme
Q8IWU5,Enzyme
Q6EEV6,None
O94901,None
Q8TAQ9,None
O15260,None
O60279,None
Q92537,None
Q9H0A9,None
Q9H9C1,None
Q8NBT2,None
Q9UIV8,None
Q9NUQ6,None
Q14515,None
Q8N2E6,None
Q96L03,None
Q9NZQ3,None
Q99619,None
Q8TCT6,Enzyme
Q8IVW8,None
Q6ZMD2,None
Q9NS26,None
Q969W0,Enzyme
P02549,None
Q8NEQ6,None
O15269,Enzyme
Q5VSR9,None
Q7Z2R9,None
Q9UHV2,None
Q9NUC0,None
Q9NZC2,None
Q14765,TF
P42226,TF
Q9Y6E0,Kinase
Q8TDR2,Kinase
Q9NRP7,Kinase
Q15208,Kinase
Q93045,None
Q8N2I9,Kinase
P03979,None
Q13043,Kinase
Q8TAV4,None
Q8NE28,Kinase
Q9UDY6,None
Q96F44,Enzyme
Q9C0K7,Kinase
Q15526,None
Q6UWL2,None
Q9UGT4,None
Q96L08,None
Q6PIF2,None
P14868,Enzyme
P49589,Enzyme
Q2VWA4,None
Q96K49,None
Q1XH10,None
Q8TDI8,IC
Q7Z5M5,IC
Q7Z404,IC
A8MWV9,None
Q8WU79,None
P62314,None
Q2TAY7,None
Q9P0T7,None
Q9H3U7,None
Q8TEV8,None
Q8TAD8,None
Q3KNW1,TF
Q9Y5W8,None
P48594,None
Q96RJ3,None
Q309B1,None
Q969Z4,None
Q13595,None
P62995,None
P01848,None
O14545,None
Q13077,None
Q12933,None
O00463,None
O60296,None
Q15629,None
P07204,None
Q15633,None
Q8IZU3,None
Q5VT97,Enzyme
Q9NZI7,TF
O95164,None
Q6ZU65,None
Q92995,Enzyme
P54578,Enzyme
Q8N205,None
O43426,None
O94782,Enzyme
Q8TBG9,None
Q9UK80,Enzyme
Q16563,None
A6NNY8,Enzyme
Q9HBJ7,Enzyme
Q70CQ3,Enzyme
Q86T82,Enzyme
Q9Y6I4,Enzyme
Q70EL1,Enzyme
P45974,Enzyme
Q93009,Enzyme
P40818,Enzyme
Q5T4T6,None
Q6PI48,Enzyme
Q9HCS7,None
P12081,Enzyme
Q9NSE4,Enzyme
P57105,None
O95363,Enzyme
Q15031,Enzyme
P11441,None
Q92797,None
P56192,Enzyme
P51784,Enzyme
O75317,Enzyme
Q9Y4E8,Enzyme
O15061,None
Q96I59,Enzyme
Q8N3V7,None
Q9UPT9,Enzyme
Q9H987,None
Q9UHP3,Enzyme
Q7L3T8,Enzyme
Q96RU2,Enzyme
Q8NFA0,Enzyme
Q9P2H5,Enzyme
Q9P275,Enzyme
P35125,Enzyme
Q9UHD9,None
Q8IYU4,None
Q9Y4A5,None
Q9BRA2,None
O95881,None
P42681,Kinase
P83876,None
Q6A555,None
C9JVI0,Enzyme
Q01081,None
Q6R6M4,Enzyme
Q7Z3V4,Enzyme
Q9BSL1,None
Q7Z7E8,None
P63279,None
Q9Y5Z9,Enzyme
P25874,None
Q96IX5,None
Q9BRU9,None
Q9Y3A2,None
P46939,None
O95399,None
Q9P2Y5,None
Q9UI12,Enzyme
Q99437,Enzyme
O95670,Enzyme
O14599,None
Q96JH7,None
P21796,None
P11473,NR
P49765,None
Q00341,None
O14604,None
P62328,None
Q0WX57,Enzyme
P0DN76,None
Q7RTZ2,Enzyme
P55089,None
P67809,TF
Q2YD98,None
Q08AM6,None
P23763,None
Q15836,None
O75379,None
P51809,None
Q8TAA9,None
Q9ULK5,None
Q15904,Enzyme
P38606,Enzyme
P15313,Enzyme
P21281,Enzyme
C9J2P7,Enzyme
Q53H54,Enzyme
D6R901,Enzyme
D6RBM5,Enzyme
P26368,None
Q9Y2X8,None
Q96RP3,None
Q8N6Y0,None
O60763,None
Q15853,TF
Q5TAP6,None
Q969X6,None
Q765I0,None
Q9NYH9,None
O14607,Epigenetic
P58557,Enzyme
Q9Y2T7,TF
P16989,TF
Q6ZUG5,None
Q1RN00,None
Q0VG73,None
Q9UBK9,None
P37288,GPCR
Q9BTM9,None
Q9BQ65,Enzyme
Q68DE3,TF
O00507,Enzyme
Q9Y5J1,None
Q15849,Transporter
P11684,None
Q8TED0,None
Q6EMK4,None
Q86V25,None
Q9Y5K8,Enzyme
P27449,Enzyme
Q9Y277,None
O15195,None
Q8IWF7,None
H0YL09,None
A6NCW7,Enzyme
Q15819,None
A6NN06,None
Q96LR5,None
Q8NBM4,None
P51668,None
P41226,None
Q8WVN8,None
Q9C0C9,None
Q13336,Transporter
O75691,None
P35916,Kinase
O15240,None
Q99990,None
Q8N8G2,None
Q14135,None
P07947,Kinase
Q9P2U8,Transporter
Q8NDX2,Transporter
O95619,None
Q8N1X5,None
Q6UWF5,None
Q6ZS52,None
A6NL46,None
Q6RSH7,None
P40337,Enzyme
Q9H598,Transporter
P18206,None
Q7Z5H5,GPCR
Q96AW1,None
P59090,None
Q86VQ3,None
Q8N3L3,None
Q86XW9,None
O43914,Enzyme
Q9NV66,Enzyme
A2RUC4,None
A6NCW0,Enzyme
P51965,None
Q05086,Enzyme
O14933,None
Q9BRT2,Enzyme
P07911,None
Q86UX7,None
Q3KQV9,Enzyme
Q9Y385,None
Q969M7,None
P68036,None
A0A1B0GUS4,None
P49459,None
Q5VVX9,None
Q96HZ7,None
Q96BW1,Enzyme
Q9NRH1,None
Q8N2B8,None
A8MTW9,None
Q86TA4,None
Q6BDS2,None
Q8TCY9,None
Q5DID0,None
Q9NZ43,None
P22415,TF
P40126,Enzyme
D6RJB6,Enzyme
D6RA61,Enzyme
Q15695,None
Q5XG85,None
Q8TB05,None
P61077,None
Q6UW78,Enzyme
P46937,None
Q6UY13,None
A8MUA0,None
Q9Y6N9,None
Q5T230,None
Q9NUQ3,None
P19971,Enzyme
P07101,Enzyme
O14530,None
Q06418,Kinase
P29597,Kinase
P0C7I0,Enzyme
C9JJH3,Enzyme
O75643,Enzyme
Q5VV11,None
P60604,None
Q15386,Enzyme
O00762,None
O94900,TF
Q86SZ2,None
Q8WWH5,Enzyme
Q8NET8,IC
Q9BZA5,None
P04818,Enzyme
C9JLJ4,Enzyme
D6R9N7,Enzyme
D6RCP7,Enzyme
A6NIH7,None
Q16222,Enzyme
P62253,None
Q8N2K1,None
Q8WVY7,Enzyme
A0AVT1,None
Q7Z6J8,Enzyme
Q14146,None
Q16666,None
Q9NZI8,None
P46199,None
P63241,None
P48163,None
P42679,Kinase
P01571,None
P78344,None
P05014,None
P05000,None
P01567,None
P09914,None
Q96LB3,None
P01859,None
P01871,None
Q6K0P9,None
P01591,None
P0DOX7,None
Q9UBC1,None
P35225,None
P24001,None
P14778,None
Q9HB29,None
Q12906,None
P0C7M6,None
Q86VS3,None
Q9NWZ3,Kinase
Q9UPP2,None
P46940,Enzyme
O14498,None
A4D126,Enzyme
Q9Y2N7,None
P30511,None
P17096,TF
P55795,None
P0C7T4,None
Q86YZ3,None
Q9P2W1,None
Q9H3N8,GPCR
Q9Y662,Enzyme
P0DMV8,None
P07900,None
Q96RP7,Enzyme
P01358,None
Q4V321,None
P43694,TF
Q9Y2F5,None
Q659A1,None
Q8WWN9,None
Q9UPZ9,Kinase
P54105,None
O60725,Enzyme
O75144,None
Q9Y6W8,None
Q14197,Enzyme
P41134,TF
Q14602,None
Q02363,TF
Q02535,TF
P47928,TF
Q9NZ38,None
P98153,None
P14735,Enzyme
Q9BX51,Enzyme
B5MD39,Enzyme
O75420,None
Q02643,GPCR
Q7Z4J2,Enzyme
O94923,Enzyme
A2PYH4,Enzyme
P60008,None
Q93099,Enzyme
Q9H422,Kinase
Q9BW72,None
P13747,None
O15347,TF
P52926,TF
P05114,None
O75330,None
P0CJ77,None
P0CJ68,None
Q9NSB8,None
Q6UXD1,None
Q8IWL3,None
Q3SXM5,Enzyme
Q6YN16,Enzyme
Q9ULV5,TF
Q4G112,TF
P31273,TF
Q92826,TF
P17481,TF
O43364,TF
A0A0B4J1U7,None
P31267,TF
P34913,Enzyme
Q9H1B7,None
O95256,None
Q9H2X8,None
P31269,TF
P35475,Enzyme
P41091,None
Q93033,None
