accession,chembl_id,molregno,assay_chembl_id,src_id,src_short_name,journal,pubmed_id,doi,tid,pref_name,target_chembl_id,organism,standard_value,standard_units,standard_relation,pchembl_value,targetID,isMoA,linkedTargets,id,drugId,uniprotId,sources,isHighQualityProbe,isTherapeuticTarget,proteinClass,isActive
P29322,CHEMBL1287853,714243,CHEMBL1908817,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,30010,Ephrin type-A receptor 8,CHEMBL4134,Homo sapiens,7700.0,nM,=,5.11,ENSG00000070886,false,"{[ENSG00000096968, ENSG00000122025], 2}",CHEMBL1287853,CHEMBL1287853,P29322,"[ot_genetics_portal, chembl]",false,true,Kinase,false
P35968,CHEMBL1287853,714243,CHEMBL1908557,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,10980,Vascular endothelial growth factor receptor 2,CHEMBL279,Homo sapiens,5200.0,nM,=,5.28,ENSG00000128052,false,"{[ENSG00000096968, ENSG00000122025], 2}",CHEMBL1287853,CHEMBL1287853,P35968,"[uniprot_literature, intogen, ot_genetics_portal, chembl, uniprot_variants, eva_somatic, cancer_gene_census]",false,true,Kinase,false
P41240,CHEMBL1287853,714243,CHEMBL1908645,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,10844,Tyrosine-protein kinase CSK,CHEMBL2634,Homo sapiens,5900.0,nM,=,5.23,ENSG00000103653,false,"{[ENSG00000096968, ENSG00000122025], 2}",CHEMBL1287853,CHEMBL1287853,P41240,"[impc, ot_genetics_portal]",false,false,Kinase,false
P53667,CHEMBL1287853,714243,CHEMBL1908558,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,30018,LIM domain kinase 1,CHEMBL3836,Homo sapiens,940.0,nM,=,6.03,ENSG00000106683,false,"{[ENSG00000096968, ENSG00000122025], 2}",CHEMBL1287853,CHEMBL1287853,P53667,[ot_genetics_portal],false,false,Kinase,false
Q06187,CHEMBL1287853,714243,CHEMBL1908476,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,100097,Tyrosine-protein kinase BTK,CHEMBL5251,Homo sapiens,850.0,nM,=,6.07,ENSG00000010671,false,"{[ENSG00000096968, ENSG00000122025], 2}",CHEMBL1287853,CHEMBL1287853,Q06187,"[impc, intogen, chembl, eva_somatic, cancer_gene_census]",false,true,Kinase,false
Q08881,CHEMBL1287853,714243,CHEMBL1908717,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,10918,Tyrosine-protein kinase ITK/TSK,CHEMBL2959,Homo sapiens,490.0,nM,=,6.31,ENSG00000113263,false,"{[ENSG00000096968, ENSG00000122025], 2}",CHEMBL1287853,CHEMBL1287853,Q08881,"[impc, chembl, cancer_gene_census]",false,true,Kinase,false
Q8N568,CHEMBL1287853,714243,CHEMBL1908511,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,101221,Serine/threonine-protein kinase DCLK2,CHEMBL5519,Homo sapiens,870.0,nM,=,6.06,ENSG00000170390,false,"{[ENSG00000096968, ENSG00000122025], 2}",CHEMBL1287853,CHEMBL1287853,Q8N568,[ot_genetics_portal],false,false,Kinase,false
Q92772,CHEMBL1287853,714243,CHEMBL1908625,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,101309,Cyclin-dependent kinase-like 2,CHEMBL5728,Homo sapiens,1300.0,nM,=,5.89,ENSG00000138769,false,"{[ENSG00000096968, ENSG00000122025], 2}",CHEMBL1287853,CHEMBL1287853,Q92772,"[impc, ot_genetics_portal]",false,false,Kinase,false
Q9P2K8,CHEMBL1287853,714243,CHEMBL1908507,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,100925,Eukaryotic translation initiation factor 2-alpha kinase 4,CHEMBL5358,Homo sapiens,100.0,nM,=,7.0,ENSG00000128829,false,"{[ENSG00000096968, ENSG00000122025], 2}",CHEMBL1287853,CHEMBL1287853,Q9P2K8,[ot_genetics_portal],false,false,Kinase,false
Q9UM73,CHEMBL1287853,714243,CHEMBL1908641,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,100417,ALK tyrosine kinase receptor,CHEMBL4247,Homo sapiens,650.0,nM,=,6.19,ENSG00000171094,false,"{[ENSG00000096968, ENSG00000122025], 2}",CHEMBL1287853,CHEMBL1287853,Q9UM73,"[impc, eva, intogen, clingen, chembl, eva_somatic, uniprot_variants, cancer_gene_census]",false,true,Kinase,false
Q9Y6R4,CHEMBL1287853,714243,CHEMBL1908724,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,30050,Mitogen-activated protein kinase kinase kinase 4,CHEMBL4853,Homo sapiens,4100.0,nM,=,5.39,ENSG00000085511,false,"{[ENSG00000096968, ENSG00000122025], 2}",CHEMBL1287853,CHEMBL1287853,Q9Y6R4,"[impc, ot_genetics_portal]",false,false,Kinase,false
P07949,CHEMBL1289601,716009,CHEMBL3428795,1,LITERATURE,J Med Chem,2.5625428E7,10.1021/jm501464c,100079,Tyrosine-protein kinase receptor RET,CHEMBL2041,Homo sapiens,1.5,nM,=,8.82,ENSG00000165731,false,"{[ENSG00000102755, ENSG00000037280, ENSG00000128052], 3}",CHEMBL1289601,CHEMBL1289601,P07949,"[uniprot_literature, impc, eva, orphanet, intogen, gene2phenotype, clingen, chembl, eva_somatic, uniprot_variants, cancer_gene_census]",false,true,Kinase,true
P07949,CHEMBL1289601,716009,CHEMBL3428796,1,LITERATURE,J Med Chem,2.5625428E7,10.1021/jm501464c,109645,Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET,CHEMBL3430888,Homo sapiens,10.0,nM,=,8.0,ENSG00000165731,false,"{[ENSG00000102755, ENSG00000037280, ENSG00000128052], 3}",CHEMBL1289601,CHEMBL1289601,P07949,"[uniprot_literature, impc, eva, orphanet, intogen, gene2phenotype, clingen, chembl, eva_somatic, uniprot_variants, cancer_gene_census]",false,true,Kinase,true
P07949,CHEMBL1289601,716009,CHEMBL3428924,1,LITERATURE,J Med Chem,2.5625428E7,10.1021/jm501464c,109661,Coiled-coil domain-containing protein 6/Tyrosine-protein kinase receptor RET,CHEMBL3430904,Homo sapiens,10.0,nM,=,8.0,ENSG00000165731,false,"{[ENSG00000102755, ENSG00000037280, ENSG00000128052], 3}",CHEMBL1289601,CHEMBL1289601,P07949,"[uniprot_literature, impc, eva, orphanet, intogen, gene2phenotype, clingen, chembl, eva_somatic, uniprot_variants, cancer_gene_census]",false,true,Kinase,true
O60674,CHEMBL1289926,716337,CHEMBL1908670,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,10938,Tyrosine-protein kinase JAK2,CHEMBL2971,Homo sapiens,3300.0,nM,=,5.48,ENSG00000096968,false,"{[ENSG00000102755, ENSG00000037280, ENSG00000128052], 3}",CHEMBL1289926,CHEMBL1289926,O60674,"[uniprot_literature, impc, eva, intogen, ot_genetics_portal, gene_burden, chembl, eva_somatic, uniprot_variants, cancer_gene_census]",false,true,Kinase,false
P00519,CHEMBL1289926,716337,CHEMBL4383512,1,LITERATURE,Eur J Med Chem,3.0317026E7,10.1016/j.ejmech.2018.10.007,8,Tyrosine-protein kinase ABL,CHEMBL1862,Homo sapiens,0.2,nM,=,9.7,ENSG00000097007,false,"{[ENSG00000102755, ENSG00000037280, ENSG00000128052], 3}",CHEMBL1289926,CHEMBL1289926,P00519,"[impc, eva, intogen, chembl, eva_somatic, cancer_gene_census]",false,true,Kinase,true
P09619,CHEMBL1289926,716337,CHEMBL1908572,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,197,Platelet-derived growth factor receptor beta,CHEMBL1913,Homo sapiens,0.57,nM,=,9.24,ENSG00000113721,false,"{[ENSG00000102755, ENSG00000037280, ENSG00000128052], 3}",CHEMBL1289926,CHEMBL1289926,P09619,"[uniprot_literature, impc, eva, orphanet, intogen, chembl, eva_somatic, cancer_gene_census]",false,true,Kinase,true
P33981,CHEMBL1289926,716337,CHEMBL1908607,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,30011,Dual specificity protein kinase TTK,CHEMBL3983,Homo sapiens,3900.0,nM,=,5.41,ENSG00000112742,false,"{[ENSG00000102755, ENSG00000037280, ENSG00000128052], 3}",CHEMBL1289926,CHEMBL1289926,P33981,"[ot_genetics_portal, chembl, eva_somatic]",false,true,Kinase,false
Q02763,CHEMBL1289926,716337,CHEMBL1908496,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,12913,Tyrosine-protein kinase TIE-2,CHEMBL4128,Homo sapiens,310.0,nM,=,6.51,ENSG00000120156,false,"{[ENSG00000102755, ENSG00000037280, ENSG00000128052], 3}",CHEMBL1289926,CHEMBL1289926,Q02763,"[impc, chembl, eva_somatic]",false,true,Kinase,false
Q8N4C8,CHEMBL1289926,716337,CHEMBL1908510,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,101220,Misshapen-like kinase 1,CHEMBL5518,Homo sapiens,560.0,nM,=,6.25,ENSG00000141503,false,"{[ENSG00000102755, ENSG00000037280, ENSG00000128052], 3}",CHEMBL1289926,CHEMBL1289926,Q8N4C8,[impc],false,false,Kinase,false
P06401,CHEMBL131,27370,CHEMBL3868169,1,LITERATURE,Bioorg Med Chem Lett,2.7810243E7,10.1016/j.bmcl.2016.10.052,36,Progesterone receptor,CHEMBL208,Homo sapiens,2080.0,nM,=,5.68,ENSG00000082175,false,"{[ENSG00000113580], 1}",CHEMBL131,CHEMBL131,P06401,"[impc, chembl]",false,true,NR,false
Q13118,CHEMBL1324,267825,CHEMBL4419304,38,PATENT,,,,109571,Krueppel-like factor 10,CHEMBL3407312,Homo sapiens,50000.0,nM,=,4.3,ENSG00000155090,false,"{[ENSG00000093010], 1}",CHEMBL1324,CHEMBL1324,Q13118,[ot_genetics_portal],false,false,TF,false
P00519,CHEMBL1336,276734,CHEMBL946291,1,LITERATURE,J Med Chem,1.8942827E7,10.1021/jm801050k,8,Tyrosine-protein kinase ABL,CHEMBL1862,Homo sapiens,80.0,nM,=,7.1,ENSG00000097007,false,"{[ENSG00000157764, ENSG00000165731, ENSG00000102755, ENSG00000037280, ENSG00000128052, ENSG00000157404, ENSG00000122025, ENSG00000132155, ENSG00000113721], 9}",CHEMBL1336,CHEMBL1336,P00519,"[impc, eva, intogen, chembl, eva_somatic, cancer_gene_census]",false,true,Kinase,false
P04629,CHEMBL1336,276734,CHEMBL860803,1,LITERATURE,Nat Biotechnol,1.5711537E7,10.1038/nbt1068,11902,Nerve growth factor receptor Trk-A,CHEMBL2815,Homo sapiens,3600.0,nM,=,5.44,ENSG00000198400,false,"{[ENSG00000157764, ENSG00000165731, ENSG00000102755, ENSG00000037280, ENSG00000128052, ENSG00000157404, ENSG00000122025, ENSG00000132155, ENSG00000113721], 9}",CHEMBL1336,CHEMBL1336,P04629,"[impc, eva, orphanet, intogen, chembl, cancer_gene_census]",false,true,Kinase,false
P08908,CHEMBL1336,276734,CHEMBL2167684,1,LITERATURE,J Med Chem,2.2694093E7,10.1021/jm300338m,51,Serotonin 1a (5-HT1a) receptor,CHEMBL214,Homo sapiens,1181.0,nM,=,5.93,ENSG00000178394,false,"{[ENSG00000157764, ENSG00000165731, ENSG00000102755, ENSG00000037280, ENSG00000128052, ENSG00000157404, ENSG00000122025, ENSG00000132155, ENSG00000113721], 9}",CHEMBL1336,CHEMBL1336,P08908,"[uniprot_literature, impc, chembl]",false,true,GPCR,false
P12931,CHEMBL1336,276734,CHEMBL1243974,1,LITERATURE,Nat Chem Biol,1.8849971E7,10.1038/nchembio.117,10434,Tyrosine-protein kinase SRC,CHEMBL267,Homo sapiens,390.0,nM,=,6.41,ENSG00000197122,false,"{[ENSG00000157764, ENSG00000165731, ENSG00000102755, ENSG00000037280, ENSG00000128052, ENSG00000157404, ENSG00000122025, ENSG00000132155, ENSG00000113721], 9}",CHEMBL1336,CHEMBL1336,P12931,"[impc, eva, chembl, eva_somatic, cancer_gene_census]",false,true,Kinase,false
P15056,CHEMBL1336,276734,CHEMBL1671058,1,LITERATURE,Bioorg Med Chem Lett,2.1211972E7,10.1016/j.bmcl.2010.12.039,100126,Serine/threonine-protein kinase B-raf,CHEMBL5145,Homo sapiens,1.0,nM,=,9.0,ENSG00000157764,true,"{[ENSG00000157764, ENSG00000165731, ENSG00000102755, ENSG00000037280, ENSG00000128052, ENSG00000157404, ENSG00000122025, ENSG00000132155, ENSG00000113721], 9}",CHEMBL1336,CHEMBL1336,P15056,"[uniprot_literature, eva, intogen, chembl, uniprot_variants, eva_somatic, cancer_gene_census]",false,true,Kinase,true
P28335,CHEMBL1336,276734,CHEMBL2167682,1,LITERATURE,J Med Chem,2.2694093E7,10.1021/jm300338m,108,Serotonin 2c (5-HT2c) receptor,CHEMBL225,Homo sapiens,417.0,nM,=,6.38,ENSG00000147246,false,"{[ENSG00000157764, ENSG00000165731, ENSG00000102755, ENSG00000037280, ENSG00000128052, ENSG00000157404, ENSG00000122025, ENSG00000132155, ENSG00000113721], 9}",CHEMBL1336,CHEMBL1336,P28335,"[impc, chembl]",false,true,GPCR,false
P29317,CHEMBL1336,276734,CHEMBL1051287,1,LITERATURE,Nat Biotechnol,1.8183025E7,10.1038/nbt1358,30008,Ephrin type-A receptor 2,CHEMBL2068,Homo sapiens,2000.0,nM,=,5.7,ENSG00000142627,false,"{[ENSG00000157764, ENSG00000165731, ENSG00000102755, ENSG00000037280, ENSG00000128052, ENSG00000157404, ENSG00000122025, ENSG00000132155, ENSG00000113721], 9}",CHEMBL1336,CHEMBL1336,P29317,"[impc, intogen, ot_genetics_portal, chembl, eva_somatic]",false,true,Kinase,false
P41240,CHEMBL1336,276734,CHEMBL1244775,1,LITERATURE,Blood,1.9654408E7,10.1182/blood-2009-05-222034,10844,Tyrosine-protein kinase CSK,CHEMBL2634,Homo sapiens,2900.0,nM,=,5.54,ENSG00000103653,false,"{[ENSG00000157764, ENSG00000165731, ENSG00000102755, ENSG00000037280, ENSG00000128052, ENSG00000157404, ENSG00000122025, ENSG00000132155, ENSG00000113721], 9}",CHEMBL1336,CHEMBL1336,P41240,"[impc, ot_genetics_portal]",false,false,Kinase,false
P42684,CHEMBL1336,276734,CHEMBL860899,1,LITERATURE,Nat Biotechnol,1.5711537E7,10.1038/nbt1068,11209,Tyrosine-protein kinase ABL2,CHEMBL4014,Homo sapiens,1300.0,nM,=,5.89,ENSG00000143322,false,"{[ENSG00000157764, ENSG00000165731, ENSG00000102755, ENSG00000037280, ENSG00000128052, ENSG00000157404, ENSG00000122025, ENSG00000132155, ENSG00000113721], 9}",CHEMBL1336,CHEMBL1336,P42684,"[intogen, ot_genetics_portal, cancer_gene_census]",false,false,Kinase,false
P53671,CHEMBL1336,276734,CHEMBL1908718,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,101386,LIM domain kinase 2,CHEMBL5932,Homo sapiens,9600.0,nM,=,5.02,ENSG00000182541,false,"{[ENSG00000157764, ENSG00000165731, ENSG00000102755, ENSG00000037280, ENSG00000128052, ENSG00000157404, ENSG00000122025, ENSG00000132155, ENSG00000113721], 9}",CHEMBL1336,CHEMBL1336,P53671,[impc],false,false,Kinase,false
Q16539,CHEMBL1336,276734,CHEMBL3580221,1,LITERATURE,Eur J Med Chem,2.5778995E7,10.1016/j.ejmech.2015.03.008,10188,MAP kinase p38 alpha,CHEMBL260,Homo sapiens,37.4,nM,=,7.43,ENSG00000112062,false,"{[ENSG00000157764, ENSG00000165731, ENSG00000102755, ENSG00000037280, ENSG00000128052, ENSG00000157404, ENSG00000122025, ENSG00000132155, ENSG00000113721], 9}",CHEMBL1336,CHEMBL1336,Q16539,"[impc, chembl]",false,true,Kinase,false
P31645,CHEMBL135,27626,CHEMBL1909109,15,DRUGMATRIX,,,,121,Serotonin transporter,CHEMBL228,Homo sapiens,5714.0,nM,=,5.24,ENSG00000108576,false,"{[ENSG00000091831], 1}",CHEMBL135,CHEMBL135,P31645,"[impc, chembl]",false,true,Transporter,false
P50225,CHEMBL135,27626,CHEMBL3537872,1,LITERATURE,Drug Metab Dispos,2.2593037E7,10.1124/dmd.112.045583,104076,Sulfotransferase 1A1,CHEMBL1743291,Homo sapiens,1200.0,nM,=,5.92,ENSG00000196502,false,"{[ENSG00000091831], 1}",CHEMBL135,CHEMBL135,P50225,[ot_genetics_portal],false,false,Enzyme,true
O95342,CHEMBL1397,334337,CHEMBL4028921,1,LITERATURE,Toxicol Sci,2.3956101E7,10.1093/toxsci/kft176,102394,Bile salt export pump,CHEMBL6020,Homo sapiens,8100.0,nM,=,5.09,ENSG00000073734,false,"{[], 0}",CHEMBL1397,CHEMBL1397,O95342,[impc],false,false,Transporter,false
P40763,CHEMBL1401,338934,CHEMBL4714882,1,LITERATURE,ACS Med Chem Lett,3.4055214E7,10.1021/acsmedchemlett.0c00544,11472,Signal transducer and activator of transcription 3,CHEMBL4026,Homo sapiens,9800.0,nM,=,5.01,ENSG00000168610,false,"{[], 0}",CHEMBL1401,CHEMBL1401,P40763,"[impc, intogen, ot_genetics_portal, chembl, cancer_gene_census]",false,true,TF,true
Q13698,CHEMBL141,33986,CHEMBL3436178,1,LITERATURE,Sci Rep,2.3812503E7,10.1038/srep02100,104801,Voltage-gated L-type calcium channel,CHEMBL2095229,Homo sapiens,54200.0,nM,=,4.27,ENSG00000081248,false,"{[], 0}",CHEMBL141,CHEMBL141,Q13698,"[impc, ot_genetics_portal, chembl]",false,true,IC,false
O00329,CHEMBL1421,361469,CHEMBL1243967,1,LITERATURE,Nat Chem Biol,1.8849971E7,10.1038/nchembio.117,11177,PI3-kinase p110-delta subunit,CHEMBL3130,Homo sapiens,30000.0,nM,=,4.52,ENSG00000171608,false,"{[ENSG00000113721, ENSG00000010810, ENSG00000197122, ENSG00000182866, ENSG00000176105, ENSG00000136573, ENSG00000101336, ENSG00000254087, ENSG00000111816, ENSG00000000938, ENSG00000125508, ENSG00000157404, ENSG00000097007, ENSG00000186716, ENSG00000142627], 15}",CHEMBL1421,CHEMBL1421,O00329,"[impc, ot_genetics_portal, chembl]",false,true,Kinase,false
P09769,CHEMBL1421,361469,CHEMBL1908708,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,100127,Tyrosine-protein kinase FGR,CHEMBL4454,Homo sapiens,0.5,nM,=,9.3,ENSG00000000938,true,"{[ENSG00000113721, ENSG00000010810, ENSG00000197122, ENSG00000182866, ENSG00000176105, ENSG00000136573, ENSG00000101336, ENSG00000254087, ENSG00000111816, ENSG00000000938, ENSG00000125508, ENSG00000157404, ENSG00000097007, ENSG00000186716, ENSG00000142627], 15}",CHEMBL1421,CHEMBL1421,P09769,"[impc, chembl]",false,true,Kinase,true
P21709,CHEMBL1421,361469,CHEMBL1061144,1,LITERATURE,Nat Biotechnol,1.8183025E7,10.1038/nbt1358,101340,Ephrin type-A receptor 1,CHEMBL5810,Homo sapiens,4.1,nM,=,8.39,ENSG00000146904,false,"{[ENSG00000113721, ENSG00000010810, ENSG00000197122, ENSG00000182866, ENSG00000176105, ENSG00000136573, ENSG00000101336, ENSG00000254087, ENSG00000111816, ENSG00000000938, ENSG00000125508, ENSG00000157404, ENSG00000097007, ENSG00000186716, ENSG00000142627], 15}",CHEMBL1421,CHEMBL1421,P21709,"[impc, ot_genetics_portal, chembl]",false,true,Kinase,true
P27037,CHEMBL1421,361469,CHEMBL1060234,1,LITERATURE,Nat Biotechnol,1.8183025E7,10.1038/nbt1358,101473,Activin receptor type-2A,CHEMBL5616,Homo sapiens,210.0,nM,=,6.68,ENSG00000121989,false,"{[ENSG00000113721, ENSG00000010810, ENSG00000197122, ENSG00000182866, ENSG00000176105, ENSG00000136573, ENSG00000101336, ENSG00000254087, ENSG00000111816, ENSG00000000938, ENSG00000125508, ENSG00000157404, ENSG00000097007, ENSG00000186716, ENSG00000142627], 15}",CHEMBL1421,CHEMBL1421,P27037,"[impc, intogen, ot_genetics_portal, cancer_gene_census]",false,false,Kinase,false
Q6PHR2,CHEMBL1421,361469,CHEMBL1908515,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,101048,Serine/threonine-protein kinase ULK3,CHEMBL5047,Homo sapiens,4600.0,nM,=,5.34,ENSG00000140474,false,"{[ENSG00000113721, ENSG00000010810, ENSG00000197122, ENSG00000182866, ENSG00000176105, ENSG00000136573, ENSG00000101336, ENSG00000254087, ENSG00000111816, ENSG00000000938, ENSG00000125508, ENSG00000157404, ENSG00000097007, ENSG00000186716, ENSG00000142627], 15}",CHEMBL1421,CHEMBL1421,Q6PHR2,"[impc, ot_genetics_portal]",false,false,Kinase,false
Q8NI60,CHEMBL1421,361469,CHEMBL1062831,1,LITERATURE,Nat Biotechnol,1.8183025E7,10.1038/nbt1358,101229,"Chaperone activity of bc1 complex-like, mitochondrial",CHEMBL5550,Homo sapiens,190.0,nM,=,6.72,ENSG00000163050,false,"{[ENSG00000113721, ENSG00000010810, ENSG00000197122, ENSG00000182866, ENSG00000176105, ENSG00000136573, ENSG00000101336, ENSG00000254087, ENSG00000111816, ENSG00000000938, ENSG00000125508, ENSG00000157404, ENSG00000097007, ENSG00000186716, ENSG00000142627], 15}",CHEMBL1421,CHEMBL1421,Q8NI60,"[uniprot_literature, impc, eva, orphanet, uniprot_variants]",false,false,Kinase,false
Q96GD4,CHEMBL1421,361469,CHEMBL1839619,1,LITERATURE,Bioorg Med Chem Lett,2.1855335E7,10.1016/j.bmcl.2011.07.101,10781,Serine/threonine-protein kinase Aurora-B,CHEMBL2185,Homo sapiens,6485.0,nM,=,5.19,ENSG00000178999,false,"{[ENSG00000113721, ENSG00000010810, ENSG00000197122, ENSG00000182866, ENSG00000176105, ENSG00000136573, ENSG00000101336, ENSG00000254087, ENSG00000111816, ENSG00000000938, ENSG00000125508, ENSG00000157404, ENSG00000097007, ENSG00000186716, ENSG00000142627], 15}",CHEMBL1421,CHEMBL1421,Q96GD4,"[impc, ot_genetics_portal, chembl]",false,true,Kinase,false
Q9H0K1,CHEMBL1421,361469,CHEMBL4807588,38,PATENT,,,,101504,Serine/threonine-protein kinase SIK2,CHEMBL5699,Homo sapiens,3.0,nM,=,8.52,ENSG00000170145,false,"{[ENSG00000113721, ENSG00000010810, ENSG00000197122, ENSG00000182866, ENSG00000176105, ENSG00000136573, ENSG00000101336, ENSG00000254087, ENSG00000111816, ENSG00000000938, ENSG00000125508, ENSG00000157404, ENSG00000097007, ENSG00000186716, ENSG00000142627], 15}",CHEMBL1421,CHEMBL1421,Q9H0K1,[impc],false,false,Kinase,true
Q13936,CHEMBL1423,364141,CHEMBL3430616,1,LITERATURE,Cardiovasc Res,2.1300721E7,10.1093/cvr/cvr044,104801,Voltage-gated L-type calcium channel,CHEMBL2095229,Homo sapiens,162.0,nM,=,6.79,ENSG00000151067,false,"{[ENSG00000149295, ENSG00000151577, ENSG00000169676, ENSG00000069696, ENSG00000184845, ENSG00000102468], 6}",CHEMBL1423,CHEMBL1423,Q13936,"[ot_genetics_portal, chembl]",false,true,IC,true
P10635,CHEMBL1428,365248,CHEMBL3541094,1,LITERATURE,Drug Metab Dispos,2.3033255E7,10.1124/dmd.112.048264,11365,Cytochrome P450 2D6,CHEMBL289,Homo sapiens,18300.0,nM,=,4.74,ENSG00000100197,false,"{[ENSG00000151623, ENSG00000151067, ENSG00000081248, ENSG00000157388, ENSG00000102001], 5}",CHEMBL1428,CHEMBL1428,P10635,[ot_genetics_portal],false,false,Enzyme,false
Q96RI1,CHEMBL1428,365248,CHEMBL2399380,1,LITERATURE,Bioorg Med Chem,2.3688559E7,10.1016/j.bmc.2013.04.069,11180,Bile acid receptor FXR,CHEMBL2047,Homo sapiens,8960.0,nM,=,5.05,ENSG00000012504,false,"{[ENSG00000151623, ENSG00000151067, ENSG00000081248, ENSG00000157388, ENSG00000102001], 5}",CHEMBL1428,CHEMBL1428,Q96RI1,"[impc, chembl]",false,true,NR,false
P30518,CHEMBL1429,366868,CHEMBL4397500,1,LITERATURE,J Med Chem,3.102234E7,10.1021/acs.jmedchem.9b00132,112,Vasopressin V2 receptor,CHEMBL1790,Homo sapiens,0.2,nM,=,9.7,ENSG00000126895,true,"{[ENSG00000126895, ENSG00000166148, ENSG00000198049], 3}",CHEMBL1429,CHEMBL1429,P30518,"[impc, eva, orphanet, chembl]",false,true,GPCR,true
P35348,CHEMBL1437,372912,CHEMBL643537,1,LITERATURE,J Med Chem,8632424.0,10.1021/jm960012o,104723,Adrenergic receptor alpha-1,CHEMBL2094251,Homo sapiens,2600.0,nM,=,5.58,ENSG00000120907,true,"{[ENSG00000120907, ENSG00000150594, ENSG00000043591, ENSG00000169252, ENSG00000184160, ENSG00000171873, ENSG00000170214, ENSG00000274286, ENSG00000188778], 9}",CHEMBL1437,CHEMBL1437,P35348,"[impc, ot_genetics_portal, chembl]",false,true,GPCR,false
P35348,CHEMBL1437,372912,CHEMBL4051037,1,LITERATURE,J Med Chem,2.8355078E7,10.1021/acs.jmedchem.6b01197,125,Alpha-1a adrenergic receptor,CHEMBL229,Homo sapiens,9.1,nM,=,8.04,ENSG00000120907,true,"{[ENSG00000120907, ENSG00000150594, ENSG00000043591, ENSG00000169252, ENSG00000184160, ENSG00000171873, ENSG00000170214, ENSG00000274286, ENSG00000188778], 9}",CHEMBL1437,CHEMBL1437,P35348,"[impc, ot_genetics_portal, chembl]",false,true,GPCR,true
P19099,CHEMBL1444,374548,CHEMBL2321523,1,LITERATURE,J Med Chem,2.3281812E7,10.1021/jm301408t,11541,Cytochrome P450 11B2,CHEMBL2722,Homo sapiens,1420.0,nM,=,5.85,ENSG00000179142,false,"{[ENSG00000137869], 1}",CHEMBL1444,CHEMBL1444,P19099,[impc],false,false,None,true
P40763,CHEMBL1448,378218,CHEMBL4812075,1,LITERATURE,Eur J Med Chem,3.3774344E7,10.1016/j.ejmech.2021.113362,11472,Signal transducer and activator of transcription 3,CHEMBL4026,Homo sapiens,210.0,nM,=,6.68,ENSG00000168610,false,,CHEMBL1448,CHEMBL1448,P40763,"[ot_genetics_portal, cancer_gene_census]",false,false,TF,true
Q02763,CHEMBL1448,378218,CHEMBL1697125,1,LITERATURE,ACS Med Chem Lett,2.4900231E7,10.1021/ml100146z,12913,Tyrosine-protein kinase TIE-2,CHEMBL4128,Homo sapiens,67800.0,nM,=,4.17,ENSG00000120156,false,,CHEMBL1448,CHEMBL1448,Q02763,"[chembl, eva_somatic]",false,true,Kinase,false
O60563,CHEMBL14762,14221,CHEMBL1805471,1,LITERATURE,J Med Chem,2.1080703E7,10.1021/jm100732t,117093,Cyclin-T1/Cyclin-dependent-like kinase 5,CHEMBL3885549,Homo sapiens,160.0,nM,=,6.8,ENSG00000129315,false,"{[ENSG00000170312, ENSG00000134058, ENSG00000136807, ENSG00000123374, ENSG00000164885], 5}",CHEMBL14762,CHEMBL14762,O60563,[impc],false,false,None,true
O60563,CHEMBL14762,14221,CHEMBL4275857,1,LITERATURE,Eur J Med Chem,3.0199702E7,10.1016/j.ejmech.2018.08.100,105083,CDK9/cyclin T1,CHEMBL2111389,Homo sapiens,220.0,nM,=,6.66,ENSG00000129315,false,"{[ENSG00000170312, ENSG00000134058, ENSG00000136807, ENSG00000123374, ENSG00000164885], 5}",CHEMBL14762,CHEMBL14762,O60563,[impc],false,false,None,true
P20309,CHEMBL1479,405364,CHEMBL1909172,15,DRUGMATRIX,,,,219,Muscarinic acetylcholine receptor M3,CHEMBL245,Homo sapiens,3762.0,nM,=,5.42,ENSG00000133019,false,"{[ENSG00000169083, ENSG00000082175], 2}",CHEMBL1479,CHEMBL1479,P20309,[impc],false,false,GPCR,false
